filepath,filename,label,duration,sample_rate,zero_crossing_rate,spectral_centroid,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms,tempo
Audios/David/Mariana-01_04.ogg,Mariana-01_04.ogg,David,2.3978125,16000,0.09465494791666666,1492.9932251962066,3109.6875,-411.25906,98.88606,12.530381,11.840755,-7.316971,-1.1371549,-12.004468,-11.469773,-9.956468,-15.146493,-12.095801,-9.050108,-9.540735,0.039242323,[133.92857143]
Audios/David/Erik-01_04.ogg,Erik-01_04.ogg,David,2.5535,16000,0.076373291015625,1246.856315319655,2346.97265625,-331.00763,119.47251,-19.05304,9.149227,-4.7916594,1.9868801,-7.8992662,-4.056376,-7.775035,-15.751379,-8.392988,-3.8645408,-7.9532075,0.051741995,[125.]
Audios/David/Mariana-03_01.ogg,Mariana-03_01.ogg,David,2.8978125,16000,0.07102614182692307,1284.3817332833512,2400.841346153846,-448.5138,58.372517,12.921173,7.3051476,-8.318059,3.210406,-10.559239,-5.992311,-8.984909,-9.874111,-8.538905,-6.389284,-4.695389,0.046620056,[208.33333333]
Audios/David/Erik-03_01.ogg,Erik-03_01.ogg,David,1.2735,16000,0.087890625,1403.0553918223518,2862.6953125,-371.2664,87.52568,-4.814865,18.597752,-12.359373,-3.8738976,-3.3286304,-9.762433,-7.007299,-12.765882,-7.26947,-7.101592,0.7022805,0.067004286,[312.5]
Audios/David/Erik-01_05.ogg,Erik-01_05.ogg,David,1.9335,16000,0.08350409836065574,1263.2198650244197,2367.1875,-283.68692,127.5941,-25.879696,15.294675,-9.89997,9.391789,-6.11201,-12.783737,-2.426838,-23.9562,-6.6340866,-4.7143946,-11.466987,0.07378099,[125.]
Audios/David/Mariana-01_05.ogg,Mariana-01_05.ogg,David,1.6178125,16000,0.1115579044117647,1940.7301160788518,3715.6862745098038,-415.3678,79.98086,6.316289,10.564382,11.397553,-9.709953,-14.096167,-10.633532,-16.58764,-15.976473,-12.8847475,-4.5196323,-7.5409584,0.04089711,[133.92857143]
Audios/David/Irma-02_04.ogg,Irma-02_04.ogg,David,1.9578125,16000,0.14832724294354838,1929.0551220663115,3817.2883064516127,-344.47253,80.85799,5.5750146,11.070131,7.6299777,-28.011976,-7.429661,5.8069596,-17.973793,-0.94804555,-7.395688,-2.349944,-0.33461374,0.06474063,[156.25]
Audios/David/Mariana-03_02.ogg,Mariana-03_02.ogg,David,2.2378125,16000,0.08731166294642857,1585.8504046644384,2983.370535714286,-470.4943,80.819,5.17918,-0.6875529,-12.394427,7.699925,-15.339688,-12.460454,-6.2064257,-11.075466,-10.595823,-4.9853263,-4.583114,0.034319237,[170.45454545]
Audios/David/Erik-03_02.ogg,Erik-03_02.ogg,David,1.2935,16000,0.08224561737804878,1456.5473470984866,3054.496951219512,-350.12418,77.75392,-11.227359,23.59041,-6.1419754,-3.4397144,-0.7358166,-16.679983,-9.835654,-8.864866,-11.015278,-2.8794427,-3.6640205,0.08156435,[312.5]
Audios/David/Erik-03_03.ogg,Erik-03_03.ogg,David,1.1935,16000,0.1098889802631579,1445.7189439611295,2867.3930921052633,-347.9414,78.941956,9.128883,19.37958,-17.79753,-3.1551247,-1.3384205,-11.1596775,-10.589107,-14.119037,-15.508617,-5.561555,-4.8661265,0.085690014,[110.29411765]
